ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
38928,Durra,270,460,Pigmented,2,Present,Yellow,74,79,40,26,12,Semi-compact elliptic,Light red,Half grain covered,Straw,Lustrous,Absent,3.5,4.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38929,Durra,260,460,Pigmented,1,Present,White,81,91,28,12,7,Compact elliptic,Straw,One-fourth grain covered,Light red,Lustrous,Absent,3,4,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38930,Durra,300,490,Pigmented,2,Present,White,78,91,33,13,8,Compact elliptic,Light brown,One-fourth grain covered,Light red,Lustrous,Absent,3,4.2,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38931,Durra,330,495,Pigmented,2,Present,White,78,89,27,21,16,Semi-loose stiff branches,Light brown,One-fourth grain covered,Red,Lustrous,Absent,3,3.7,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38932,Durra,335,440,Pigmented,1,Present,White,81,91,15,13,9,Compact elliptic,Straw,One-fourth grain covered,Yellow,Lustrous,Absent,2.8,3.4,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38933,Durra,320,460,Pigmented,1,Present,Yellow,81,94,17,13,7,Compact elliptic,Brown,One-fourth grain covered,Yellow,Lustrous,Absent,2.8,3.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38934,Durra,325,510,Pigmented,1,Present,Dull green,81,98,23,12,7,Compact elliptic,Straw,Half grain covered,Light red,Lustrous,Absent,3,4.3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38935,Durra,320,510,Pigmented,1,Present,White,81,98,19,11,6,Compact elliptic,Light brown,One-fourth grain covered,Yellow,Lustrous,Absent,2.8,3.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38936,Durra,310,505,Pigmented,2,Present,White,83,93,25,12,7,Compact elliptic,Black,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.7,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38937,Durra,310,460,Pigmented,1,Present,Yellow,76,84,25,12,7,Compact elliptic,Light red,One-fourth grain covered,Straw,Lustrous,Absent,3.5,4.6,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38938,Durra,320,490,Pigmented,1,Present,White,78,128,27,11,7,Compact elliptic,Brown,Half grain covered,Yellow,Lustrous,Absent,3,3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38939,Durra,380,460,Pigmented,2,Present,White,78,91,32,17,14,Semi-compact elliptic,Partly straw and purple,One-fourth grain covered,Reddish brown,Non-Lustrous,Absent,3,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38940,Durra-bicolor,310,520,Pigmented,2,Present,White,81,87,20,17,8,Semi-compact elliptic,Straw,Half grain covered,Reddish brown,Non-Lustrous,Absent,2.8,2,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38941,Durra,300,490,Pigmented,2,Present,White,81,91,25,15,8,Compact elliptic,Light brown,One-fourth grain covered,Red,Lustrous,Absent,3,3.7,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38942,Durra,320,490,Pigmented,2,Present,Yellow,83,91,32,12,7,Compact elliptic,Straw,Half grain covered,Straw,Lustrous,Absent,3,3.7,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38943,Durra,340,490,Pigmented,2,Present,White,78,80,40,27,3,Semi-loose stiff branches,Straw,Half grain covered,White,Lustrous,Absent,2.8,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38944,Durra,330,370,Pigmented,2,Present,White,78,80,24,14,6,Compact elliptic,Straw,One-fourth grain covered,Light red,Lustrous,Absent,2.8,2.6,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38945,Durra,225,310,Pigmented,2,Present,Yellow,76,77,28,22,7,Semi-loose stiff branches,Light brown,Half grain covered,Light red,Lustrous,Absent,2.8,2.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38946,Durra,335,470,Pigmented,2,Present,Yellow,81,91,35,26,11,Semi-loose stiff branches,Straw,Half grain covered,Yellow,Lustrous,Absent,3,4,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38947,Durra,320,490,Pigmented,1,Present,Yellow,81,91,35,24,12,Semi-compact elliptic,Straw,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.6,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38948,Durra,290,500,Pigmented,1,Present,Yellow,81,90,35,13,6,Compact elliptic,Light brown,One-fourth grain covered,Light red,Lustrous,Absent,2.8,3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38949,Durra,310,520,Pigmented,2,Present,White,81,83,27,20,10,Semi-compact elliptic,Straw,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38950,Durra,315,500,Pigmented,2,Present,White,83,98,33,10,7,Compact oval,Light brown,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38951,Durra,300,520,Pigmented,2,Present,White,76,91,24,12,7,Compact elliptic,Light brown,One-fourth grain covered,Straw,Lustrous,Absent,3,3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38952,Durra,305,530,Pigmented,2,Present,White,81,108,34,10,8,Compact elliptic,Straw,Half grain covered,Light brown,Lustrous,Absent,2.8,3,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38953,Durra,290,525,Pigmented,2,Present,White,76,86,25,29,10,Semi-compact elliptic,Partly straw and purple,One-fourth grain covered,Straw,Lustrous,Absent,3,3.5,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38954,Durra,295,490,Pigmented,2,Present,Yellow,87,91,34,11,7,Compact elliptic,Straw,One-fourth grain covered,Red,Lustrous,Absent,3.5,4.2,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38955,Durra,300,495,Pigmented,2,Present,Yellow,93,84,26,12,8,Compact elliptic,Light brown,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.6,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38956,Durra,290,460,Pigmented,2,Present,Dull green,87,87,39,17,8,Semi-compact elliptic,Light red,Half grain covered,Light red,Lustrous,Absent,2.8,2.4,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38957,Durra,290,480,Pigmented,2,Present,White,87,98,28,12,9,Compact elliptic,Black,Half grain covered,Yellow,Lustrous,Absent,3.5,4.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38958,Durra,285,490,Pigmented,1,Present,White,81,90,31,13,7,Compact elliptic,Straw,One-fourth grain covered,Light red,Lustrous,Absent,3,3.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38959,Durra,270,495,Pigmented,2,Present,White,81,88,29,10,6,Compact elliptic,Straw,Half grain covered,Yellow,Lustrous,Absent,3,4.7,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38960,Durra,280,470,Pigmented,1,Present,White,76,77,38,12,8,Semi-compact elliptic,Light brown,Half grain covered,Straw,Lustrous,Absent,3,3.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38961,Durra,260,450,Pigmented,2,Present,Yellow,78,90,20,11,6,Compact elliptic,Black,One-fourth grain covered,Yellow,Lustrous,Absent,3.5,4.8,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38962,Durra,230,400,Pigmented,2,Present,Yellow,69,77,24,22,9,Semi-loose stiff branches,Purple,Half grain covered,Light red,Lustrous,Absent,3,3.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38963,Durra,290,450,Pigmented,1,Present,White,83,84,33,13,6,Compact elliptic,Straw,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.7,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38964,Durra,270,410,Pigmented,2,Present,Dull green,78,86,39,13,6,Semi-compact elliptic,Straw,One-fourth grain covered,Light red,Lustrous,Absent,2.8,3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38965,Durra,290,500,Pigmented,2,Present,White,76,84,40,26,11,Semi-loose stiff branches,Straw,Half grain covered,Red,Lustrous,Absent,3,3.3,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38966,Durra,240,510,Pigmented,2,Present,White,83,84,30,14,7,Semi-compact elliptic,Light brown,Half grain covered,Light red,Lustrous,Absent,3,3.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38967,Durra,260,460,Pigmented,1,Present,Yellow,83,93,6,11,6,Compact elliptic,Brown,One-fourth grain covered,Yellow,Lustrous,Absent,3.5,3.8,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38968,Durra,245,460,Pigmented,2,Present,Dull green,87,88,12,19,9,Semi-compact elliptic,Partly straw and brown,Half grain covered,Yellow,Lustrous,Absent,3.5,3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38969,Durra,290,490,Pigmented,2,Present,White,78,91,28,13,7,Compact elliptic,Light red,One-fourth grain covered,Red,Lustrous,Absent,3.5,3.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38970,Durra,275,450,Pigmented,2,Present,White,76,77,22,14,8,Compact elliptic,Black,One-fourth grain covered,Straw,Lustrous,Absent,3.5,3.6,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38971,Durra,305,510,Pigmented,1,Present,White,87,93,24,16,9,Compact elliptic,Light brown,One-fourth grain covered,Straw,Lustrous,Absent,3.5,3.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38972,Durra,290,505,Pigmented,2,Present,White,78,79,35,27,17,Loose stiff branches,Straw,Half grain covered,Straw,Lustrous,Absent,3.5,2.8,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38973,Durra,270,430,Pigmented,2,Present,Yellow,69,79,23,22,9,Semi-loose stiff branches,Straw,Three-fourth grain covered,Reddish brown,Non-Lustrous,Absent,3,2.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38974,Durra,340,450,Pigmented,1,Present,White,76,100,33,20,9,Semi-compact elliptic,Light brown,One-fourth grain covered,Light red,Lustrous,Absent,3,2.7,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38975,Durra,300,530,Pigmented,1,Present,Yellow,76,93,24,12,7,Compact elliptic,Light red,One-fourth grain covered,Red,Lustrous,Absent,3.5,3.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38976,Durra,210,380,Pigmented,2,Present,Yellow,71,79,22,31,9,Semi-compact elliptic,Partly straw and brown,Half grain covered,Yellow,Lustrous,Absent,3,3.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38977,Durra,230,400,Pigmented,2,Present,Yellow,69,81,20,24,10,Semi-compact elliptic,Red,Half grain covered,Red,Lustrous,Absent,4,3.8,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38978,Durra,245,370,Pigmented,2,Present,White,71,72,22,15,7,Semi-compact elliptic,Black,Half grain covered,Reddish brown,Non-Lustrous,Absent,3,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38979,Durra,300,500,Pigmented,2,Present,White,83,96,29,13,8,Compact elliptic,Light brown,One-fourth grain covered,Red,Lustrous,Absent,3,2.7,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38980,Durra,295,460,Pigmented,2,Present,Dull green,71,86,36,14,8,Semi-compact elliptic,Partly straw and brown,One-fourth grain covered,Light red,Lustrous,Absent,3,3.2,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38981,Durra,275,460,Pigmented,2,Present,Yellow,74,84,23,30,11,Semi-loose stiff branches,Light brown,One-fourth grain covered,Red,Lustrous,Absent,4,4.3,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38982,Durra,275,410,Pigmented,2,Present,Dull green,74,86,13,12,7,Semi-compact elliptic,Straw,One-fourth grain covered,Straw,Lustrous,Absent,3,3,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38983,Durra,265,400,Pigmented,2,Present,White,67,75,24,21,11,Semi-loose stiff branches,Black,Half grain covered,Straw,Lustrous,Absent,3,3,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38984,Durra,260,460,Pigmented,2,Present,Yellow,64,79,23,21,12,Semi-loose stiff branches,Light brown,Half grain covered,Straw,Lustrous,Absent,3,3,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38985,Durra-bicolor,190,370,Pigmented,2,Present,White,67,84,18,26,14,Semi-loose stiff branches,Straw,Three-fourth grain covered,Straw,Lustrous,Absent,2.8,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38986,Durra-bicolor,205,330,Pigmented,2,Present,White,63,122,28,23,12,Semi-loose stiff branches,Straw,Grain fully covered,White,Lustrous,Absent,3,3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38987,Durra,285,480,Pigmented,1,Present,White,87,122,31,12,8,Compact elliptic,Black,One-fourth grain covered,Light red,Lustrous,Absent,3.5,3.6,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38988,Durra-caudatum,255,400,Pigmented,1,Present,White,71,79,30,15,10,Semi-compact elliptic,Straw,Half grain covered,Straw,Lustrous,Absent,3,2.7,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38989,Guinea-caudatum,245,410,Pigmented,2,Present,White,74,89,27,24,10,Semi-loose stiff branches,Reddish brown,One-fourth grain covered,Reddish brown,Non-Lustrous,Absent,3,2.5,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38990,Durra-caudatum,195,330,Pigmented,2,Present,White,71,73,30,22,7,Semi-compact elliptic,Light brown,Half grain covered,Straw,Lustrous,Absent,3,3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38991,Durra,260,460,Pigmented,2,Present,White,67,68,19,24,11,Semi-compact elliptic,Partly straw and brown,Half grain covered,Red,Lustrous,Absent,3.5,3.6,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38992,Durra,300,500,Pigmented,1,Present,White,76,91,35,19,9,Semi-compact elliptic,Light brown,One-fourth grain covered,Straw,Lustrous,Absent,3,3.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38993,Durra,210,345,Pigmented,2,Present,White,72,79,18,26,9,Semi-compact elliptic,Light red,Half grain covered,White,Lustrous,Absent,3,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23.9,82.7,146.5
38994,Durra,320,340,Pigmented,2,Present,Yellow,81,90,39,12,8,Compact elliptic,Black,One-fourth grain covered,Yellow,Lustrous,Absent,3,3.3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
38995,Durra,340,500,Pigmented,2,Present,White,74,77,35,18,11,Semi-compact elliptic,Black,Half grain covered,White,Lustrous,Absent,3,3.2,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
38996,Durra-bicolor,320,440,Pigmented,2,Present,White,67,79,50,28,16,Loose stiff branches,Black,Three-fourth grain covered,Straw,Lustrous,Absent,2.8,2,Completely starchy,Difficult to thresh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
38997,Durra,340,440,Pigmented,2,Present,White,78,91,29,15,8,Compact elliptic,Light red,One-fourth grain covered,Red,Lustrous,Absent,3.5,3.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
38998,Durra-caudatum,270,440,Pigmented,2,Present,White,78,86,30,21,7,Semi-compact elliptic,Light red,One-fourth grain covered,Yellow,Lustrous,Absent,3,2.7,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
38999,Durra,285,520,Pigmented,2,Present,White,76,83,29,21,14,Semi-loose stiff branches,Black,Half grain covered,Light red,Lustrous,Absent,3.5,4,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
39000,Durra,320,480,Pigmented,2,Present,White,81,91,28,24,9,Semi-compact elliptic,Partly straw and purple,Half grain covered,Straw,Lustrous,Absent,3.5,3.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,85.2,149.3
39001,Durra-bicolor,280,480,Pigmented,2,Present,White,76,84,26,26,16,Loose stiff branches,Straw,Three-fourth grain covered,Reddish brown,Lustrous,Absent,2.8,2.3,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,85.2,149.3
39002,Durra-bicolor,325,480,Pigmented,2,Present,White,71,87,32,34,16,Loose stiff branches,Partly straw and brown,Three-fourth grain covered,Reddish brown,Non-Lustrous,Absent,2.5,1.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,85.2,149.3
39003,Durra,320,505,Pigmented,2,Present,Yellow,77,84,35,19,9,Semi-compact elliptic,Light brown,Half grain covered,Yellow,Lustrous,Absent,3.5,3.5,Completely starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,85.2,149.3
39004,Durra,285,460,Pigmented,2,Present,Yellow,71,89,31,17,9,Semi-compact elliptic,Light brown,Half grain covered,Straw,Lustrous,Absent,3,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,85.2,149.3
39005,Durra,320,485,Pigmented,2,Present,White,78,82,32,13,8,Compact elliptic,Straw,Half grain covered,Light red,Lustrous,Absent,3,2.5,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.6,85.2,149.3
39006,Caudatum,300,460,Pigmented,2,Present,White,71,79,37,20,10,Semi-loose stiff branches,Straw,Half grain covered,White,Lustrous,Absent,3.5,3.3,Partly corneous,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
39007,Durra-caudatum,260,410,Pigmented,2,Present,White,76,77,30,22,8,Semi-compact elliptic,Purple,Half grain covered,Yellow,Lustrous,Absent,3.5,3.2,Mostly starchy,Freely threshable,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25.4,83.9,148.2
