ICRISAT accession identifier,Race,Plant height (cm)-postrainy,Plant height (cm)-rainy,Plant pigmentation,Basal tillers number,Nodal tillering,Midrib color,Days to flowering-postrainy,Days to flowering-rainy,Panicle exertion (cm),Panicle length (cm),Panicle width (cm),Panicle compactness and shape,Glume color,Glume covering,Seed color,Seed lustre,Seed subcoat,Seed size (mm),100 Seed weight (g),Endosperm texture,Thresability,Shoot fly-rainy,Shoot fly-postrainy,Downy mildew % (field),Downy mildew % (glasshouse),Stem borer,Anthracnose,Grain mold,Leaf blight,Midge,Headbug,Rust,Strigol control,Protein (%),Lysine (%),Remarks,Year of characterization,Temperature,Humidity,Rainfall
7674,Guinea,270,540,Pigmented,1,Present,White,63,144,14,36.5,12,Very loose stiff branches,Reddish brown,One-fourth grain covered,White,Lustrous,Absent,3.8,4.38,Partly corneous,Partly threshable,Highly suceptible,NULL,39,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,104.3700027,8.9,2.3,NULL,NULL,26.3,85.3,148.1
7675,Guinea,260,430,Pigmented,1,Present,White,83,140,21,44,13,Loose stiff branches,Black,Grain uncovered,Light red,Lustrous,Absent,4,3.32,Partly corneous,Freely threshable,Suceptible,NULL,49,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,116.3199997,8.6,2.3,NULL,NULL,26.3,85.3,148.1
7676,Guinea,310,440,Pigmented,1,Present,White,82,140,20,43,12,Loose stiff branches,Brown,One-fourth grain covered,Light red,Lustrous,Absent,3.8,3.54,Partly corneous,Freely threshable,Moderately resistant,NULL,31,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,120.75,7.5,2.7,NULL,NULL,23.4,82.5,145.2
7677,Guinea,325,510,Pigmented,2,Present,White,85,136,16,40,12,Loose stiff branches,Light brown,Grain uncovered,White,Lustrous,Absent,3.8,3.55,Mostly corneous,Partly threshable,Moderately resistant,NULL,35,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,3.099999905,7.5,2.4,NULL,NULL,24,82.8,146.5
7679,Guinea,330,520,Pigmented,2,Present,White,84,140,18,51,21,Loose stiff branches,Light red,One-fourth grain covered,White,Lustrous,Absent,4,3.47,Partly corneous,Partly threshable,Suceptible,NULL,92,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,107.8899994,8.5,2.1,NULL,NULL,27.3,86.4,149.2
7680,Guinea,245,520,Pigmented,2,Present,White,83,141,20,43,16,Loose stiff branches,Brown,One-fourth grain covered,White,Lustrous,Absent,4,3.5,Mostly corneous,Partly threshable,Moderately resistant,NULL,46,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,0.689999998,7.3,2.3,NULL,NULL,28.2,87.2,150.1
7681,Guinea,320,370,Pigmented,2,Present,White,72,139,19,32,7,Semi-loose stiff branches,Black,One-fourth grain covered,Light red,Lustrous,Absent,3.7,3.54,Partly corneous,Freely threshable,Highly suceptible,NULL,37,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,111.8399963,NULL,NULL,NULL,NULL,24,82.8,146.5
7682,Guinea,300,590,Pigmented,1,Present,White,83,151,20,31,7.5,Semi-loose stiff branches,Black,Grain uncovered,White,Lustrous,Absent,4,4.56,Mostly corneous,Freely threshable,Suceptible,NULL,16,NULL,Resistant,>40% leaf area damaged,NULL,6-20% leaf area damaged,NULL,NULL,NULL,109.7600021,9,2.2,NULL,NULL,24,82.8,146.5
7683,Guinea,310,435,Pigmented,1,Present,White,90,138,12,45,29,Loose stiff branches,Black,One-fourth grain covered,Light red,Lustrous,Absent,3.8,3.37,Partly corneous,Partly threshable,Highly suceptible,Moderately resistant,20,NULL,Moderately resistant,6-20% leaf area damaged,NULL,6-20% leaf area damaged,NULL,NULL,NULL,110.5,11.7,NULL,NULL,NULL,24,82.8,146.5
7684,Durra-caudatum,200,350,Pigmented,1,Present,White,75,130,18,28,9,Semi-loose stiff branches,Straw,Half grain covered,Yellow,Lustrous,Absent,4,4.93,Partly corneous,Freely threshable,Suceptible,NULL,37,NULL,Moderately resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,5.019999981,NULL,NULL,NULL,NULL,24,82.8,146.5
7685,Guinea,260,440,Pigmented,1,Absent,White,72,130,13,40,12,Loose stiff branches,Black,Grain uncovered,White,Lustrous,Absent,4,4.14,Partly corneous,Freely threshable,Suceptible,NULL,28,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,111.4800034,9.2,2.2,NULL,NULL,24,82.8,146.5
7686,Caudatum,265,430,Pigmented,1,Absent,White,81,139,34,22,6,Loose stiff branches,Black,One-fourth grain covered,Red,Lustrous,Absent,4,3.33,Mostly starchy,Partly threshable,Highly suceptible,NULL,80,NULL,Resistant,NULL,NULL,2-5% leaf area damaged,NULL,NULL,NULL,82.16999817,14.6,2.8,NULL,NULL,23.4,82.6,145.2
7687,Guinea,285,540,Pigmented,2,Present,White,77,131,35,36,12,Loose stiff branches,Brown,One-fourth grain covered,White,Lustrous,Absent,4,3.49,Mostly corneous,Freely threshable,Moderately resistant,NULL,10,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,110.0299988,9.1,2.1,NULL,NULL,23.3,82.4,145.1
7688,Guinea,235,415,Pigmented,1,Present,White,77,139,16,34,10,Semi-loose stiff branches,Black,One-fourth grain covered,Straw,Lustrous,Absent,3.8,4.47,Partly corneous,Partly threshable,Highly suceptible,NULL,36,NULL,Resistant,NULL,NULL,6-20% leaf area damaged,NULL,NULL,NULL,116.0199966,9,2.3,NULL,NULL,21.8,80.5,144.4
