ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
9571,32,31.3,Low anthocyanin,Semi-spreading,2.7,1.3,3.3,1.7,0.7,55,31,Pink,118,43,1.1,1240,Yellow,Present,Angular,Rough,12,21.5,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9572,35,30.3,Low anthocyanin,Semi-spreading,3,1.7,4,3.3,0.7,50,32,Pink,106,27,1,1360,Yellow,Present,Angular,Rough,18,20.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9573,31,36.3,Low anthocyanin,Semi-erect,1.7,1.3,1.7,2,5,61,38,Pink,110,32,1.2,1490,Light brown,Present,Angular,Rough,19,21.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9574,28,39.3,Low anthocyanin,Semi-erect,2.3,1.7,3.3,3.3,1.3,58,NULL,Pink,110,28,1,1270,Yellow,Present,Angular,Rough,13,21,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9575,29,28,Low anthocyanin,Semi-erect,3,2,3,2,2,63,NULL,Pink,107,20,1.6,1400,Yellow brown,Present,Angular,Rough,13,19.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9576,34,35,Low anthocyanin,Semi-spreading,2.3,2.3,4.7,3.7,3.3,63,50,Pink,110,21,1,1510,Yellow brown,Present,Angular,Rough,22,19.1,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9577,30,30,Low anthocyanin,Semi-erect,2.3,1.7,8.3,12,2,57,35,Pink,120,55,1.1,1070,Yellow brown,Present,Angular,Rough,16,20.8,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9578,43,32.7,High anthocyanin,Semi-erect,2.7,1,3,4,NULL,89,21,Pink,138,14,1.4,710,Light brown,Present,Angular,Rough,18,20.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9579,32,35.7,Low anthocyanin,Semi-erect,3.3,NULL,4.3,3.3,3.3,69,33,Pink,108,47,1.1,290,Brown,Present,Angular,Rough,11,21.2,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
9580,34,30.3,Low anthocyanin,Semi-erect,3,2,5.3,6,3.3,57,50,Pink,110,67,1,380,Yellow,Present,Pea,Smooth,21,21.4,Susceptible,NULL,Susceptible,NULL,NULL,NULL,NULL,NULL,NULL
