ICRISAT accession identifier,Plant height (cm),Plant width (cm),Plant pigmentation,Growth habit,Basal primary branches number,Apical primary branches number,Basal secondary branches number,Apical secondary branches number,Tertiary branches number,Days to flowering,Flowering duration,Flower color,Days to maturity,Pods per plant,Seeds per pod,Seed yield (Kg/ha),Seed color,Dots on seed coat,Seed shape,Seed surface,100 Seed weight (g),Protein (%),Wilt,Ascochyta blight,Colletotrichum blight,Botrytis grey mold,Pod borer,Year of Characterization,Temperature,Humidity,Rainfall
17676,37,64.8,Low anthocyanin,Semi-erect,2.8,4.8,4.6,3,1.6,56,19,Pink,105,60,1,1983,Yellow brown,Present,Angular,Rough,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17677,36,63.6,Low anthocyanin,Semi-erect,3,2.4,2.6,8,1.6,54,32,Pink,105,77,1.7,2067,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17678,36,67,Low anthocyanin,Semi-spreading,2.6,1.8,2,4.3,4.4,58,28,Pink,110,46,1.4,1495,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17679,39,64.8,Low anthocyanin,Semi-erect,2.2,5.2,2.6,6.8,1.4,58,26,Pink,117,66,1.1,2084,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17680,36,65,Low anthocyanin,Semi-erect,3.6,4.6,1.4,4.5,1,40,44,Pink,117,65,1.8,3217,Light brown,Present,Angular,Rough,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17681,41,65.8,Low anthocyanin,Semi-erect,2.8,3.8,5.2,7.3,0.6,57,29,Pink,110,70,1,1495,Light orange,Present,Angular,Rough,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17682,38,66,Low anthocyanin,Semi-erect,4.6,4.6,3.4,7.8,3.4,52,27,Pink,109,80,1.4,3245,Light orange,Present,Angular,Rough,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17683,37,68,Low anthocyanin,Semi-erect,2.6,2.8,6.8,3.5,2.2,57,29,Pink,109,54,2,2039,Yellow,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17684,36,70,Low anthocyanin,Semi-erect,3.4,5.4,5.8,10.3,4.8,62,26,Pink,110,65,1,2595,Light orange,Present,Angular,Rough,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17685,44,75.4,Low anthocyanin,Semi-erect,2.8,2,5.6,5.3,6.2,58,28,Pink,112,64,1.1,2706,Brownish beige,Present,Angular,Rough,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17686,42,69.8,Low anthocyanin,Semi-erect,3.4,2.6,3.4,5.8,4,62,25,Pink,112,44,1,2050,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17687,43,73,Low anthocyanin,Semi-erect,3.8,4.6,4,7.5,5.2,59,29,Pink,112,78,1.1,2167,Light orange,Present,Angular,Rough,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17688,43,68.6,Low anthocyanin,Semi-erect,2.8,1.6,5.2,7.5,6.6,59,27,Pink,117,65,1.3,2789,Light orange,Present,Angular,Rough,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17689,43,69.4,Low anthocyanin,Semi-erect,2.6,1.4,5,3.3,8.2,62,27,Pink,117,61,1.2,2695,Light yellow,Present,Angular,Rough,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17690,39,70,Low anthocyanin,Semi-spreading,3.6,4.6,5.2,6,5.8,39,47,Pink,103,79,1.1,2739,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17691,38,68.4,Low anthocyanin,Semi-erect,4,4,2,5.5,0.8,40,36,Pink,100,62,1,2572,Light brown,Present,Angular,Rough,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17692,35,68.2,No anthocyanin,Semi-spreading,3.4,3.8,4.6,7.8,3,53,26,White,103,41,1,2839,Light brown,Present,Angular,Rough,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17693,38,67.6,Low anthocyanin,Semi-erect,2.2,3.8,5.8,6.3,4.4,53,29,Pink,110,82,1.4,2389,Light brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17694,32,68.6,Low anthocyanin,Semi-erect,6.2,6.2,2.2,9,NULL,53,26,Pink,100,91,1,2289,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17695,33,68.8,Low anthocyanin,Semi-spreading,1.8,5.4,3,4,0.2,50,26,Pink,100,62,1.4,2839,Yellow brown,Present,Angular,Tuberculated,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17696,29,63,Low anthocyanin,Semi-spreading,4,5.6,4.6,4.8,1.4,53,31,Pink,103,79,1.3,2722,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17697,37,64.4,Low anthocyanin,Semi-erect,2.8,6.6,5.6,8.5,2.6,54,27,Pink,102,60,1.1,2134,Yellow brown,Present,Angular,Rough,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17698,32,57,Low anthocyanin,Semi-erect,4.4,5,3.2,5.8,1.4,52,26,Pink,99,70,1.4,1861,Light brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17699,34,64,Low anthocyanin,Semi-erect,3,6,3.8,6.5,2,53,31,Pink,100,60,1.8,1745,Yellow brown,Present,Angular,Rough,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17700,36,70,Low anthocyanin,Semi-erect,1.8,2.6,1.8,3.3,1.6,51,34,Pink,100,41,1.2,3161,Yellow brown,Present,Angular,Rough,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17701,38,65.6,Low anthocyanin,Semi-erect,3.4,4.2,3,7.5,1.8,42,35,Pink,99,68,1.2,2722,Yellow brown,Present,Angular,Rough,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17702,35,65,Low anthocyanin,Semi-erect,2.2,5,4.6,6.5,0.8,42,32,Pink,98,65,1.2,2428,Yellow brown,Present,Angular,Rough,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17703,35,63.4,Low anthocyanin,Semi-spreading,3.2,6.8,5.4,5.8,2,40,34,Pink,99,88,1.2,2534,Yellow brown,Present,Angular,Rough,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17704,35,64.4,Low anthocyanin,Semi-spreading,3,6.6,3.6,6.8,1.6,47,29,Pink,113,82,1.5,2806,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17705,41,68.2,Low anthocyanin,Semi-erect,2.8,4.8,4,6.5,5.8,53,32,Pink,102,80,1.2,3317,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17706,28,61.6,Low anthocyanin,Semi-spreading,1.6,3.6,3.6,4.8,2,46,28,Pink,113,49,1.4,2317,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17707,36,64.6,Low anthocyanin,Semi-erect,2.6,4.4,3.8,4.5,2,53,31,Pink,114,69,1.8,2761,Yellow brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17708,38,68,Low anthocyanin,Semi-erect,3.2,3.6,6.4,10.3,4.8,57,29,Pink,104,71,1.6,2817,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17709,36,61.8,Low anthocyanin,Semi-spreading,3.4,3.8,4.6,7.8,3.6,50,32,Pink,102,92,1,2661,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17710,37,69.8,Low anthocyanin,Semi-spreading,3,2.4,2.6,5,3.4,54,28,Pink,110,56,1,2472,Yellow brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17711,33,63.6,Low anthocyanin,Semi-spreading,3.2,2.6,4.2,9.8,3.6,47,34,Pink,105,85,1.5,2795,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17712,41,71.4,Low anthocyanin,Semi-erect,3.4,2.2,3.6,9,4.8,52,30,Pink,105,70,1,2900,Yellow brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17713,39,70.8,Low anthocyanin,Semi-erect,3.4,3.2,1.8,11,2,54,23,Pink,105,72,1.2,2922,Yellow brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17714,42,77,Low anthocyanin,Semi-erect,2.6,4,2.6,8.8,2,56,28,Pink,113,85,1.2,2817,Orange brown,Present,Angular,Rough,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17715,31,67.2,Low anthocyanin,Semi-erect,2.4,5,1.8,7,0.2,46,30,Pink,116,45,1.2,1706,Yellow brown,Present,Angular,Rough,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17716,39,67.2,Low anthocyanin,Semi-erect,3.4,2.4,5.2,5,2.8,60,28,Pink,120,62,1.6,1783,Light brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17717,37,61.2,Low anthocyanin,Semi-erect,2.4,2.2,4,5.5,2,59,30,Pink,114,69,1.3,2056,Light brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17718,32,61.8,Low anthocyanin,Semi-erect,3,2.4,2.8,5,0.6,52,34,Pink,115,64,1.5,1950,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17719,34,65,Low anthocyanin,Semi-erect,3.6,1.4,6.4,5,1.2,63,26,Pink,122,48,1,1356,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17720,40,65.2,Low anthocyanin,Semi-erect,4.4,2.4,7,9.3,11.2,65,32,Pink,120,94,1.8,1989,Yellow brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17721,34,60.8,Low anthocyanin,Semi-erect,2.6,2.8,2.6,8,4.4,55,31,Pink,113,66,1,2311,Yellow brown,Present,Angular,Rough,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17722,40,64.8,Low anthocyanin,Semi-erect,4,0.4,4,5.8,1.6,56,28,Pink,115,55,1.2,1861,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17723,41,71,Low anthocyanin,Semi-erect,3.2,5.2,5.8,9.5,4.6,60,26,Pink,115,86,1,2289,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17724,40,69.2,Low anthocyanin,Semi-erect,4.4,4.2,3.4,6.3,3,53,29,Pink,102,63,1.3,2861,Light yellow,Present,Angular,Rough,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17725,41,66.8,Low anthocyanin,Semi-erect,3.8,2.4,6.4,8.3,4.4,60,29,Pink,118,52,1,1828,Light orange,Present,Angular,Rough,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17726,40,63.2,Low anthocyanin,Semi-erect,2.6,5.2,3.8,4.8,3.2,57,31,Pink,114,76,1,1995,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17727,41,68.4,Low anthocyanin,Semi-erect,3,2,4.6,6.5,8.8,62,27,Pink,114,67,1.1,1778,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17728,39,66.6,Low anthocyanin,Semi-erect,3.2,4.2,3,4.5,2.8,62,25,Pink,113,42,1.6,1845,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17729,40,66.6,Low anthocyanin,Semi-erect,3.6,7,6.6,9.8,3,52,37,Pink,110,98,1.3,2056,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17730,37,68.6,Low anthocyanin,Semi-erect,3.8,2.6,4.8,9.5,1.6,60,26,Pink,114,30,1.8,628,Light brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17731,43,70.8,Low anthocyanin,Semi-erect,4,3.8,1.8,7.8,3,62,24,Pink,116,40,1.2,995,Yellow brown,Present,Angular,Rough,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17732,33,64.6,Low anthocyanin,Semi-spreading,2.8,5.2,1.2,6.3,0.8,53,23,Pink,116,67,1.3,1895,Yellow brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17733,36,69.6,Low anthocyanin,Semi-spreading,4.6,6.2,6.6,12.8,6,57,30,Pink,117,86,1.1,3256,Yellow brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17734,37,67.2,Low anthocyanin,Semi-erect,5.4,7,6.8,11.8,8.2,57,30,Pink,117,142,1.4,2834,Light brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17735,39,66,Low anthocyanin,Semi-erect,2.8,1,2,4.5,1.6,63,23,Pink,105,30,1.6,1567,Green,Absent,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17736,36,63.8,Low anthocyanin,Semi-erect,3.2,4,0.8,3.8,0.6,53,30,Pink,108,27,1,2022,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17737,47,68.6,Low anthocyanin,Semi-erect,5,4,2.6,8.8,1.2,62,24,Pink,112,38,1.1,639,Yellow brown,Present,Angular,Rough,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17738,41,64.2,Low anthocyanin,Semi-erect,4.6,5,3.2,5.8,2,68,21,Pink,113,32,1,572,Yellow brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17739,36,61,Low anthocyanin,Semi-erect,2.8,3,2.8,9.8,2.6,59,28,Pink,111,60,1.1,1683,Yellow brown,Present,Angular,Rough,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17740,39,62.2,Low anthocyanin,Semi-erect,3.2,5.6,1.8,8.8,2.2,61,27,Pink,113,62,1.1,1322,Yellow brown,Present,Angular,Rough,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17741,33,59,Low anthocyanin,Semi-erect,3.2,3.6,3.8,12.8,2.2,58,29,Pink,112,80,1.5,2145,Light brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17742,46,69.4,Low anthocyanin,Semi-erect,2.8,2.6,1.6,5.3,3.2,64,24,Pink,112,50,1.9,2161,Light brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17743,45,67.2,Low anthocyanin,Semi-erect,3.4,2.6,3,15,7.8,63,24,Pink,113,86,1.3,2517,Yellow,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17744,43,63.4,Low anthocyanin,Semi-erect,3.4,4.2,8.6,10,9.2,64,25,Pink,114,82,1.1,1972,Light yellow,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17745,42,62.2,No anthocyanin,Semi-erect,2.4,2,3.4,6.3,2.8,61,26,Very light pink,115,64,1.3,1506,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17746,44,67.2,Low anthocyanin,Semi-erect,3.6,3.2,4.8,7.5,7.2,63,25,Pink,114,81,1.4,2678,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17747,30,59,Low anthocyanin,Semi-spreading,4.2,4.6,7,6.8,0.8,52,35,Pink,115,84,1.1,2906,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17748,39,63.2,Low anthocyanin,Semi-erect,4.4,5.4,4.4,13.3,7,65,24,Pink,115,84,1.6,2450,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17749,40,67.2,Low anthocyanin,Semi-erect,3.6,2.8,3,8.8,2.2,58,28,Pink,114,63,1.2,1289,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17750,45,67.4,Low anthocyanin,Semi-erect,3.2,2.4,5,5.3,3.4,60,28,Pink,115,35,1.1,1245,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17751,44,63.4,Low anthocyanin,Semi-erect,3,4.4,3.4,8.5,3.4,60,28,Pink,112,66,2.1,1583,Yellow brown,Present,Angular,Rough,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17752,39,64.6,Low anthocyanin,Semi-erect,3.4,1.8,2.8,5.3,2.2,58,26,Pink,113,27,1.3,656,Yellow brown,Present,Angular,Rough,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17753,39,66.6,Low anthocyanin,Semi-erect,2.6,2.8,0.8,9,2.4,57,29,Pink,112,46,1.2,2278,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17754,40,70.2,Low anthocyanin,Semi-erect,3.2,2.8,2.8,7.3,4.2,57,30,Pink,112,81,1,2578,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17755,43,71.6,Low anthocyanin,Semi-erect,5.4,3.8,3.4,8.8,3,62,27,Pink,112,72,1.4,2289,Dark brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17756,29,63.4,Low anthocyanin,Semi-spreading,3.2,3.2,3.6,7.8,3.6,38,36,Pink,113,87,1.3,3511,Yellow brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17757,28,64.2,Low anthocyanin,Semi-spreading,2.4,3.6,2.6,7.8,2.4,54,23,Pink,112,87,1.2,2861,Yellow brown,Present,Angular,Tuberculated,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17758,41,72,Low anthocyanin,Semi-spreading,4.2,3.4,4.2,10.8,3,55,32,Pink,115,54,1.6,1750,Yellow brown,Present,Angular,Rough,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17759,39,65.6,Low anthocyanin,Semi-erect,4.2,2.4,3.6,4.3,1.2,72,26,Pink,125,27,1.1,389,Light yellow,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17760,46,81.2,Low anthocyanin,Semi-erect,2.6,2.4,3.6,6.3,3.6,62,28,Pink,115,74,1.2,2300,Dark brown,Present,Angular,Rough,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17761,37,70.4,Low anthocyanin,Semi-erect,4,3,4.4,11,3.2,54,35,Pink,115,100,1.5,2384,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17762,46,75.2,Low anthocyanin,Semi-erect,4.6,4.2,4.2,7.5,2.2,63,27,Pink,117,66,1,1439,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17763,45,76.4,Low anthocyanin,Semi-erect,3.8,4,5.8,10.5,6.8,59,35,Pink,117,66,1.3,1450,Yellow brown,Present,Angular,Rough,16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17764,45,73.2,Low anthocyanin,Semi-erect,3,4.2,4.4,6.5,3.4,63,33,Pink,117,62,1.3,2039,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17765,33,63.4,No anthocyanin,Semi-erect,2.2,5.8,3.6,9.8,4.4,32,40,Pink,115,85,1.1,2717,Yellow brown,Present,Angular,Rough,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17766,48,86,Low anthocyanin,Semi-erect,4.2,2,4.8,9.8,7.2,58,30,Pink,117,87,1.1,3228,Light yellow,Present,Angular,Rough,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17767,38,67.8,Low anthocyanin,Semi-erect,3,2.8,3.6,9,1.4,60,28,Pink,117,57,1.6,2578,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17768,39,75,Low anthocyanin,Semi-spreading,3.6,3.2,1.8,11,2.4,61,27,Pink,118,58,1.1,1506,Light brown,Present,Angular,Rough,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17769,42,73.8,Low anthocyanin,Semi-spreading,2,4.6,3.8,7.3,2,57,25,Pink,115,60,1.1,1911,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17770,33,65.6,Low anthocyanin,Semi-erect,3,4.8,6.4,4.8,2.4,58,26,Pink,115,75,1.2,2056,Yellow brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17771,36,60.8,Low anthocyanin,Semi-erect,5,6.2,3.8,7.8,3.8,61,28,Pink,118,50,1.6,967,Light brown,Present,Angular,Rough,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17772,36,73.6,Low anthocyanin,Semi-erect,3,4.8,4,5.8,4.8,62,22,Pink,118,53,1.3,1311,Light brown,Present,Angular,Rough,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17773,45,70.4,Low anthocyanin,Semi-erect,2.2,2.8,0.8,8.3,0.2,58,28,Pink,116,42,1.5,1533,Light brown,Present,Angular,Rough,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17774,41,79.2,Low anthocyanin,Semi-spreading,2.6,2.2,3.4,3.8,6.8,58,31,Pink,115,89,1.9,2534,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17775,45,73.8,Low anthocyanin,Semi-erect,3.6,1.4,4.6,9,7.2,62,26,Pink,113,86,1.6,2717,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17776,36,62,Low anthocyanin,Semi-erect,4.4,2.4,5.8,8.5,3.8,61,25,Pink,113,55,1.1,1689,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17777,33,61,Low anthocyanin,Semi-spreading,3.2,3,4.8,9.8,4,57,25,Pink,112,100,1.6,2661,Yellow brown,Present,Angular,Rough,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17778,33,65.8,Low anthocyanin,Semi-erect,4,1.4,3.8,13.3,7,69,26,Pink,113,62,1.8,1722,Light brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17779,41,77,Low anthocyanin,Semi-erect,4.8,2.8,3.4,10.5,4,60,26,Pink,113,83,1.5,2200,Light brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17780,40,72.6,Low anthocyanin,Semi-erect,3,6.6,5,11.3,3.2,53,33,Pink,113,96,1.5,2822,Yellow brown,Present,Angular,Rough,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17781,38,65.6,Low anthocyanin,Semi-spreading,3.4,2.6,3,6.8,3.6,52,32,Pink,113,69,1.4,2361,Yellow brown,Present,Angular,Rough,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17782,44,68,Low anthocyanin,Semi-erect,2.4,8,0.4,8.8,NULL,54,30,Pink,118,72,1.5,1911,Yellow brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17783,37,66.8,Low anthocyanin,Semi-spreading,3.2,5,5,6.3,2.4,56,26,Pink,118,81,1,1839,Yellow brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17784,32,60.6,Low anthocyanin,Semi-spreading,1.2,8.2,0.8,6.3,1.4,41,35,Pink,115,72,1.1,2411,Yellow brown,Present,Angular,Rough,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17785,43,76.2,Low anthocyanin,Semi-erect,3.6,1.4,2.6,5,1.2,67,29,Pink,122,37,1.8,1606,Yellow brown,Present,Angular,Rough,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17786,40,67.2,Low anthocyanin,Semi-erect,3.2,4.4,2.8,5,2.6,60,34,Pink,118,44,1,1567,Light yellow,Present,Angular,Rough,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17787,43,65,Low anthocyanin,Semi-erect,3.4,1.8,2.6,4.5,1.2,68,27,Pink,125,29,1,806,Yellow brown,Present,Angular,Rough,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17788,40,69.6,Low anthocyanin,Semi-erect,4.4,4.4,4.8,12.3,0.4,57,27,Pink,118,60,1.6,2389,Yellow brown,Present,Angular,Rough,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
